"","latitude","longitude","altitude..m.","mine.rad"
"4142",36.7312,-109.0341,1716,2.3
"4143",36.7308,-109.0334,1704,1.9473392099249
"4144",36.7313,-109.0324,1681.9,2.66476449275361
"4145",36.7307,-109.0313,1705.6,3.4785768357305
"4146",36.7301,-109.0313,1701.3,3.48402725208174
"4147",36.7296,-109.0311,1702.6,4.88556321839085
"4148",36.7194,-109.0224,1709.5,1.7
"4149",36.7183,-109.0208,1701.4,2.10143112701251
"4150",36.7179,-109.0203,1698.2,3.1
"4151",36.7137,-109.0366,1727.4,10.6457410367664
"4152",36.7114,-109.0372,1722.9,2.34563297350344
"4153",36.7124,-109.0264,1718.4,1.41441578148711
"4154",36.7084,-109.0265,1695.2,4.25266821345702
"4155",36.7074,-109.0339,1709.7,2.08161611965101
"4156",36.707,-109.035,1709.8,8.23606681852699
"4157",36.6998,-109.0278,1681.2,3.07110266159697
"4158",36.6988,-109.0271,1657.1,1.9
"4159",36.701,-109.0249,1679,2.23557582668187
"4160",36.7006,-109.018,1644.3,2.47822007392666
"4161",36.7026,-109.0162,1646.2,2.1
"4162",36.6958,-109.0102,1714.3,2.95175644028101
"4163",36.695,-109.0106,1712.7,2.12579545454544
"4164",36.6991,-109.0235,1650.1,1.89205776173286
"4165",36.7468,-109.0362,1764.2,8.2
"4166",36.7002,-109.0113,1694.8,3.29878787878788
"4167",36.6798,-109.0209,1752.7,1.57824267782427
"4168",36.7195,-109.0234,1710.5,2.5
"4169",36.7442,-109.0423,1823.8,2.26157337367625
"4170",36.743,-109.0417,1826.8,2.04277456647399
"4171",36.7426,-109.0413,1810.6,2.51295731707317
"4172",36.7422,-109.0408,1798.9,1.9
"4173",36.7416,-109.0404,1785.4,2.44157043879908
"4174",36.7235,-109.0354,1686.8,7.90422794117643
"4175",36.7106,-109.0119,1644.6,2.42017994858614
"4176",36.7475,-109.0362,1763.2,8.2
"4177",36.7103,-109.0114,1662.9,2.5
"4178",36.694,-109.0209,1655.1,1.53503233168504
"4179",36.8901,-108.4633,1704.5,2.32664624808575
"4180",36.8441,-108.4603,1633.7,3.01936579841451
"4181",36.9894,-108.1919,1811,3.2
"4184",36.2388,-108.7585,1788.3,4.85295315682281
"4200",35.5382,-108.08,2277.6,2.74788972920224
"4201",35.577,-108.1329,2455.7,1.04723896400065
"4202",35.4871,-108.2919,2500,1.79295398128699
"4203",35.6432,-108.2955,2280.7,1.1
"4204",35.6986,-108.3292,2243.5,1.34661654135339
"4205",35.7536,-108.2975,2036.3,2.07320410490308
"4206",35.599,-108.4279,2158.5,2.05618028681994
